Title,Genre,Age Rating,Content Type,Duration(min),Origin Country,Main Cast,Audio,IMDB rate,Seasons,Release Year,,,
Valeria: Season 3: Balance,Drama,18+,TV Show,61,Spain," Diana Gómez , Silma López,  Paula Malia, Teresa Riott",Spanish,6.6,3,2020,,,
Valeria: Season 3: The Bachelorette Party,Drama,18+,TV Show,61,Spain," Diana Gómez , Silma López,  Paula Malia, Teresa Riott",Spanish,6.6,3,2020,,,
Valeria: Season 2: Reflection,Drama,18+,TV Show,61,Spain," Diana Gómez , Silma López,  Paula Malia, Teresa Riott",Spanish,6.6,3,2020,,,
Valeria: Season 2: Stop Running,Drama,18+,TV Show,61,Spain," Diana Gómez , Silma López,  Paula Malia, Teresa Riott",Spanish,6.6,3,2020,,,
Valeria: Season 1: The Impostor,Drama,18+,TV Show,61,Spain," Diana Gómez , Silma López,  Paula Malia, Teresa Riott",Spanish,6.6,3,2020,,,
Friends: Season 3: The One with the Jam,Comedy,13+,TV Show,22,United States,"Jennifer Aniston, Courtney Cox, Lisa Kudrow, Matthew Perry, Matt Le Blanc, David Schwimmer",English,8.9,10,1994,,,
Friends: Season 2: The One with Ross's New Girlfriend,Comedy,13+,TV Show,22,United States,"Jennifer Aniston, Courtney Cox, Lisa Kudrow, Matthew Perry, Matt Le Blanc, David Schwimmer",English,8.9,10,1994,,,
Friends: Season 4: The One with Chandler in a Box,Comedy,13+,TV Show,22,United States,"Jennifer Aniston, Courtney Cox, Lisa Kudrow, Matthew Perry, Matt Le Blanc, David Schwimmer",English,8.9,10,1994,,,
Friends: Season 5: The One with Rachel's Inadvertent Kiss,Comedy,13+,TV Show,22,United States,"Jennifer Aniston, Courtney Cox, Lisa Kudrow, Matthew Perry, Matt Le Blanc, David Schwimmer",English,8.9,10,1994,,,
Friends: Season 1: The One with the Boobies,Comedy,13+,TV Show,22,United States,"Jennifer Aniston, Courtney Cox, Lisa Kudrow, Matthew Perry, Matt Le Blanc, David Schwimmer",English,8.9,10,1994,,,
The Good Bad Mother: Episode 3,Emotional,18+,TV Show,82,South Korea,"Ra Mi-ran, Lee Do-hyun and Ahn Eun-jin.",Korean,8.4,1,2023,,,
The Good Bad Mother: Episode 2,Emotional,18+,TV Show,82,South Korea,"Ra Mi-ran, Lee Do-hyun and Ahn Eun-jin.",Korean,8.4,1,2023,,,
The Good Bad Mother: Episode 1,Emotional,18+,TV Show,82,South Korea,"Ra Mi-ran, Lee Do-hyun and Ahn Eun-jin.",Korean,8.4,1,2023,,,
Business Proposal: Episode 4,Rom-com,13+,TV Show,61,South Korea,"Kim Se-jeong ,Seol In-ah ,Kim Min-kyu , Ahn Hyo-Seop",Korean,8.1,1,2022,,,
Business Proposal: Episode 3,Rom-com,13+,,61,South Korea,"Kim Se-jeong ,Seol In-ah ,Kim Min-kyu , Ahn Hyo-Seop",Korean,8.1,1,2022,,,
Business Proposal: Episode 2,Rom-com,13+,,61,South Korea,"Kim Se-jeong ,Seol In-ah ,Kim Min-kyu , Ahn Hyo-Seop",Korean,8.1,1,2022,,,
Business Proposal: Episode 1,Rom-com,13+,,61,South Korea,"Kim Se-jeong ,Seol In-ah ,Kim Min-kyu , Ahn Hyo-Seop",Korean,8.1,1,2022,,,
Friends: Season 3: The One Where Monica & Richard Are Just Friends,Comedy,13+,,22,United States,"Jennifer Aniston, Courtney Cox, Lisa Kudrow, Matthew Perry, Matt Le Blanc, David Schwimmer",English,8.9,10,1994,,,
Friends: Season 4: The One with Joey's Dirty Day,Comedy,13+,,22,United States,"Jennifer Aniston, Courtney Cox, Lisa Kudrow, Matthew Perry, Matt Le Blanc, David Schwimmer",English,8.9,10,1994,,,
Friends: Season 9: The One with the Memorial Service,Comedy,13+,,22,United States,"Jennifer Aniston, Courtney Cox, Lisa Kudrow, Matthew Perry, Matt Le Blanc, David Schwimmer",English,8.9,10,1994,,,
Friends: Season 9: The One with the Boob Job,Comedy,13+,,22,United States,"Jennifer Aniston, Courtney Cox, Lisa Kudrow, Matthew Perry, Matt Le Blanc, David Schwimmer",English,8.9,10,1994,,,
Friends: Season 6: The One with the Proposal: Part 1,Comedy,13+,,22,United States,"Jennifer Aniston, Courtney Cox, Lisa Kudrow, Matthew Perry, Matt Le Blanc, David Schwimmer",English,8.9,10,1994,,,
Crash Landing on You: Episode 5,Rom-com,13+,,70,South Korea,"Hyun Bin, Son Ye-jin, Seo Ji-hye, Kim Jung-hyun.",Korean,8.7,1,2019,,,
Crash Landing on You: Episode 4,Rom-com,13+,,70,South Korea,"Hyun Bin, Son Ye-jin, Seo Ji-hye, Kim Jung-hyun.",Korean,8.7,1,2019,,,
Crash Landing on You: Episode 3,Rom-com,13+,TV Show,70,South Korea,"Hyun Bin, Son Ye-jin, Seo Ji-hye, Kim Jung-hyun.",Korean,8.7,1,2019,,,
Crash Landing on You: Episode 2,Rom-com,13+,TV Show,70,South Korea,"Hyun Bin, Son Ye-jin, Seo Ji-hye, Kim Jung-hyun.",Korean,8.7,1,2019,,,
Crash Landing on You: Episode 1,Rom-com,13+,TV Show,70,South Korea,"Hyun Bin, Son Ye-jin, Seo Ji-hye, Kim Jung-hyun.",Korean,8.7,1,2019,,,
Guardian: The Lonely and Great God: Episode 1,Drama,16+,TV Show,62,South Korea,"Gong Yoo , Kim Go Eun, Lee Dong Wook , Yoo In Na , Yook Sung Jae",Korean,8.6,,2016,,,
To All the Boys I've Loved Before,Rom-com,13+,Movie,70,United States,Lana Condor · Noah Centineo · Janel Parrish · Anna Cathcart · Andrew Bachelor ,English,7,,2018,,,
Mr. Queen: Episode 7,Comedy,16+,TV Show,70,South Korea,"Shin Hye-Sun , Kim Jung-hyun , Seol In-ah , Kim Tae-woo , Yoo Min-Kyu ",Korean,8.6,1,2020,,,
Mr. Queen: Episode 9,Comedy,16+,TV Show,70,South Korea,"Shin Hye-Sun , Kim Jung-hyun , Seol In-ah , Kim Tae-woo , Yoo Min-Kyu ",Korean,8.6,1,2020,,,
Mr. Queen: Episode 10,Comedy,16+,TV Show,70,South Korea,"Shin Hye-Sun , Kim Jung-hyun , Seol In-ah , Kim Tae-woo , Yoo Min-Kyu ",Korean,8.6,1,2020,,,
Mr. Queen: Episode 1,Comedy,16+,TV Show,70,South Korea,"Shin Hye-Sun , Kim Jung-hyun , Seol In-ah , Kim Tae-woo , Yoo Min-Kyu ",Korean,8.6,1,2020,,,
Youth of May: Episode 4,Slice-of-life,16+,TV Show,60,South Korea,"Lee Do-hyun, Go Min-si, Lee Sang-yi, and Keum Sae-rok.",Korean,8.4,1,2021,,,
Youth of May: Episode 3,Slice-of-life,16+,TV Show,60,South Korea,"Lee Do-hyun, Go Min-si, Lee Sang-yi, and Keum Sae-rok.",Korean,8.4,1,2021,,,
Youth of May: Episode 2,Slice-of-life,16+,TV Show,60,South Korea,"Lee Do-hyun, Go Min-si, Lee Sang-yi, and Keum Sae-rok.",Korean,8.4,1,2021,,,
Youth of May: Episode 1,Slice-of-life,16+,TV Show,60,South Korea,"Lee Do-hyun, Go Min-si, Lee Sang-yi, and Keum Sae-rok.",Korean,8.4,1,2021,,,
Money Heist: Part 5,"Crime, Suspense",18+,Tv show,50,Spain,"Úrsula Corberó , Álvaro Morte ,Itziar Ituño,Pedro Alonso, Miguel Herrán ",Spanish,8.2,5,2017,,,
Money Heist: Part 5,"Crime, Suspense",18+,Tv show,50,Spain,"Úrsula Corberó , Álvaro Morte ,Itziar Ituño,Pedro Alonso, Miguel Herrán ",Spanish,8.2,5,2017,,,
Money Heist: Part 5,"Crime, Suspense",18+,Tv show,50,Spain,"Úrsula Corberó , Álvaro Morte ,Itziar Ituño,Pedro Alonso, Miguel Herrán ",Spanish,8.2,5,2017,,,
Money Heist: Part 5,"Crime, Suspense",18+,Tv show,50,Spain,"Úrsula Corberó , Álvaro Morte ,Itziar Ituño,Pedro Alonso, Miguel Herrán ",Spanish,8.2,5,2017,,,
Money Heist: Part 5,"Crime, Suspense",18+,Tv show,50,Spain,"Úrsula Corberó , Álvaro Morte ,Itziar Ituño,Pedro Alonso, Miguel Herrán ",Spanish,8.2,5,2017,,,
Money Heist: Part 5,"Crime, Suspense",18+,Tv show,50,Spain,"Úrsula Corberó , Álvaro Morte ,Itziar Ituño,Pedro Alonso, Miguel Herrán ",Spanish,8.2,5,2017,,,
Money Heist: Part 5,"Crime, Suspense",18+,Tv show,50,Spain,"Úrsula Corberó , Álvaro Morte ,Itziar Ituño,Pedro Alonso, Miguel Herrán ",Spanish,8.2,5,2017,,,
Money Heist: Part 5,"Crime, Suspense",18+,Tv show,50,Spain,"Úrsula Corberó , Álvaro Morte ,Itziar Ituño,Pedro Alonso, Miguel Herrán ",Spanish,8.2,5,2017,,,
Happiness: Episode 12,Suspense,16+,TV Show,61,South Korea,"Han Hyo-joo , Park Hyung-sik , Jo Woo-jin , Joo-hee Park ,Lee Joon-hyuk ",Korean,7.9,1,2021,,,
Happiness: Epsiode 11,Suspense,16+,TV Show,61,South Korea,"Han Hyo-joo , Park Hyung-sik , Jo Woo-jin , Joo-hee Park ,Lee Joon-hyuk ",Korean,7.9,1,2021,,,
